Time,Gx,Gy,Gz,Ax,Ay,Az
1532053073,-1.030395508,0.615127563,-0.22253418,1.220148559,-0.753047148,-1.32486139
1532053074,-0.667388916,0.404769897,-0.099075317,-0.905991424,0.223057052,-1.873984434
1532053074,-0.727783203,0.560089111,-0.234664917,-0.758197169,-0.656878004,1.468845993
1532053074,-1.137664795,0.164154053,-0.12109375,-0.0090148,1.144455928,1.97948343
1532053074,-0.760147095,0.297302246,-0.242202759,-1.87510882,1.601573414,-0.010411096
1532053074,-1.086135864,0.294540405,-0.146362305,0.538029913,0.090695016,0.240917275
1532053075,-1.029586792,0.550674438,-0.195846558,0.116037657,0.11461766,-1.01458741
1532053075,-1.168029785,0.659317017,-0.302124023,-0.929182763,-0.45012296,-2.11901869
1532053075,-0.677810669,0.350921631,-0.073913574,0.363830149,-0.549882578,-0.983158381
1532053075,-0.67729187,0.501327515,-0.275253296,-0.492332199,-0.040552487,1.58614732
1532053075,-0.947540283,0.562316895,-0.430999756,-0.941528912,2.249558058,2.316646282
1532053076,-0.978088379,0.254608154,-0.223571777,-1.680151314,1.815111529,-0.213342373
1532053076,-1.042755127,0.271621704,-0.197616577,-0.473751324,0.479352218,-0.306379107
1532053076,-1.294906616,0.626251221,-0.159118652,0.27415539,-0.47347835,-1.727177412
1532053076,-1.163848877,0.671630859,-0.278762817,0.178057353,-0.57048639,-2.782528231
1532053076,-0.424224854,0.302963257,-0.063659668,0.135873946,-0.354211344,-0.841982081
1532053077,-0.956054688,0.696685791,-0.399398804,-1.133616596,-0.460154555,2.746700192
1532053077,-1.535324097,0.345825195,-0.169494629,2.004723805,0.333042143,3.103974704
1532053077,-0.721374512,0.351272583,-0.090179443,-2.221050783,2.231778528,-2.207324851
1532053077,-1.190368652,0.52305603,-0.194396973,0.997752237,-1.151403316,0.468516082
1532053077,-1.261535645,0.546936035,-0.194671631,0.690764332,-1.188190626,-1.916029089
1532053078,-0.850250244,0.456893921,-0.213943481,-0.00699133,-0.354884325,-2.771271848
